# Fiwo Derived Dictionary — 1727 entries
# GENERATED from Canon/derived_lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | root + derivation | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Biological Noun — 299 entries ===
abecoa | abeco o→a | Pilot | A person who flies a plane; a pilot. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pilot
porcei | porce e→i | To be orange | Stative: to be or become orange. [Modifier -> Verb (stative)] Senses: 1) to be orange; 2) to become orange
potsucei | potsuce e→i | To be one billion | Stative: to be or become one billion. [Modifier -> Verb (stative)] Senses: 1) to be one billion; 2) to become one billion
pozmui | pozmu u→i | To dream | To experience dreams; to dream. [Abstract Noun -> Verb (feel/enact)] Senses: 1) to dream
punkokui | punkoku u→i | Try / Put on trial | To subject someone to a legal trial. [Abstract Noun -> Verb (feel/enact)] Senses: 1) try; 2) put on trial
pusnapoi | pusnapo o→i | Print | To produce text or images on paper with a printer. [Concrete Noun -> Verb (use/apply)] Senses: 1) print
puvei | puve e→i | To be cheap | Stative: to be or become cheap. [Modifier -> Verb (stative)] Senses: 1) to be cheap; 2) to become cheap
pyqei | pyqe e→i | To be rude | Stative: to be or become rude. [Modifier -> Verb (stative)] Senses: 1) to be rude; 2) to become rude
rajei | raje e→i | To be five | Stative: to be or become five. [Modifier -> Verb (stative)] Senses: 1) to be five; 2) to become five
ramei | rame e→i | To be its (inanimate | Stative: to be or become its (inanimate. [Modifier -> Verb (stative)] Senses: 1) to be its (inanimate; 2) to become its (inanimate
ratsei | ratse e→i | To be dangerous | Stative: to be or become dangerous. [Modifier -> Verb (stative)] Senses: 1) to be dangerous; 2) to become dangerous
raurei | raure e→i | To be ugly | Stative: to be or become ugly. [Modifier -> Verb (stative)] Senses: 1) to be ugly; 2) to become ugly
retei | rete e→i | To be seven | Stative: to be or become seven. [Modifier -> Verb (stative)] Senses: 1) to be seven; 2) to become seven
rewyei | rewy y→e→i | To be far / distant | Stative: to be or become far. [Preposition -> Modifier -> Verb (stative)] Senses: 1) to be far; 2) to become far
rintei | rinte e→i | To be rich | Stative: to be or become rich. [Modifier -> Verb (stative)] Senses: 1) to be rich; 2) to become rich
ripei | ripe e→i | To be hot | Stative: to be or become hot. [Modifier -> Verb (stative)] Senses: 1) to be hot; 2) to become hot
riqoi | riqo o→i | To type | To write using a keyboard; to type. [Concrete Noun -> Verb (use/apply)] Senses: 1) type
rivahei | rivahe e→i | To be previous | Stative: to be or become previous. [Modifier -> Verb (stative)] Senses: 1) to be previous; 2) to become previous
riwifrei | riwifre e→i | To go bankrupt | To become unable to pay one's debts. [Modifier -> Verb (stative)] Senses: 1) go bankrupt; 2) become insolvent
roasei | roase e→i | To be slow | Stative: to be or become slow. [Modifier -> Verb (stative)] Senses: 1) to be slow; 2) to become slow
rodipei | rodipe e→i | To be thirsty | Stative: to be or become thirsty. [Modifier -> Verb (stative)] Senses: 1) to be thirsty; 2) to become thirsty
rodlei | rodle e→i | To be true | Stative: to be or become true. [Modifier -> Verb (stative)] Senses: 1) to be true; 2) to become true
rohelsoi | rohelso o→i | Inject | To deliver medicine into the body with a needle. [Concrete Noun -> Verb (use/apply)] Senses: 1) inject
romvei | romve e→i | To be again | Stative: to be or become again. [Modifier -> Verb (stative)] Senses: 1) to be again; 2) to become again
roqtei | roqte e→i | To be serious | Stative: to be or become serious. [Modifier -> Verb (stative)] Senses: 1) to be serious; 2) to become serious
rowei | rowe e→i | To be wide | Stative: to be or become wide. [Modifier -> Verb (stative)] Senses: 1) to be wide; 2) to become wide
rubidroi | rubidro o→i | Plug in | To connect a device by inserting a plug. [Concrete Noun -> Verb (use/apply)] Senses: 1) plug in; 2) connect
rudsei | rudse e→i | To be rough | Stative: to be or become rough. [Modifier -> Verb (stative)] Senses: 1) to be rough; 2) to become rough
rufocoi | rufoco o→i | To anchor | To hold fast with an anchor; to anchor. [Concrete Noun -> Verb (use/apply)] Senses: 1) anchor; 2) moor
rumatrui | rumatru u→i | Testify | To give a formal account as a witness. [Abstract Noun -> Verb (feel/enact)] Senses: 1) testify; 2) give testimony
runefrei | runefre e→i | To be off | Stative: to be switched off / inactive. [Modifier -> Verb (stative)] Senses: 1) be off; 2) be inactive
rutei | rute e→i | To be sharp | Stative: to be or become sharp. [Modifier -> Verb (stative)] Senses: 1) to be sharp; 2) to become sharp
ruzei | ruze e→i | To be fast | Stative: to be or become fast. [Modifier -> Verb (stative)] Senses: 1) to be fast; 2) to become fast
ryzusui | ryzusu u→i | Discount / To discount | To reduce the price of something. [Abstract Noun -> Verb (feel/enact)] Senses: 1) discount; 2) reduce the price
silei | sile e→i | To be this | Stative: to be or become this. [Modifier -> Verb (stative)] Senses: 1) to be this; 2) to become this
sismorui | sismoru u→i | To access | To gain entry to or the use of something. [Abstract Noun -> Verb (feel/enact)] Senses: 1) to access; 2) to gain entry to
skrehei | skrehe e→i | To be on | Stative: to be switched on / active. [Modifier -> Verb (stative)] Senses: 1) be on; 2) be active
slafei | slafe e→i | To be too | Stative: to be or become too. [Modifier -> Verb (stative)] Senses: 1) to be too; 2) to become too
sluqei | sluqe e→i | To be six | Stative: to be or become six. [Modifier -> Verb (stative)] Senses: 1) to be six; 2) to become six
smezei | smeze e→i | To be raw | Stative: to be or become raw. [Modifier -> Verb (stative)] Senses: 1) to be raw; 2) to become raw
snasumui | snasumu u→i | Refund / To refund | To return money paid for goods or services. [Abstract Noun -> Verb (feel/enact)] Senses: 1) refund; 2) return money
snibexei | snibexe e→i | To be humid | To be humid or moist in the air. [Modifier -> Verb (stative)] Senses: 1) be humid
sonei | sone e→i | To be spicy | Stative: to be or become spicy. [Modifier -> Verb (stative)] Senses: 1) to be spicy; 2) to become spicy
stibuxui | stibuxu u→i | Prescribe | To authorize medicine or treatment in writing. [Abstract Noun -> Verb (feel/enact)] Senses: 1) prescribe
stiroi | stiro o→i | To queue | To form or join a line; to line up, to queue. [Concrete Noun -> Verb (use/apply)] Senses: 1) queue; 2) line up
strenei | strene e→i | To be soon | Stative: to be or become soon. [Modifier -> Verb (stative)] Senses: 1) to be soon; 2) to become soon
subei | sube e→i | To be probable | Stative: to be or become probable. [Modifier -> Verb (stative)] Senses: 1) to be probable; 2) to become probable
sukei | suke e→i | To be your's | Stative: to be or become your's. [Modifier -> Verb (stative)] Senses: 1) to be your's; 2) to become your's
sulpoi | sulpo o→i | To dye | To color material with dye. [Concrete Noun -> Verb (use/apply)] Senses: 1) dye; 2) color
swesoi | sweso o→i | To sweat | To give off sweat through the skin; to perspire. [Concrete Noun -> Verb (use/apply)] Senses: 1) sweat; 2) perspire
swucui | swucu u→i | To relieve | To produce relief in someone; to unburden. [Abstract Noun -> Verb (feel/enact)] Senses: 1) relieve
sydoi | sydo o→i | To house | To provide with housing or shelter. [Concrete Noun -> Verb (use/apply)] Senses: 1) to house; 2) to shelter
sysui | sysu u→i | To bore | To produce boredom in someone; to bore. [Abstract Noun -> Verb (feel/enact)] Senses: 1) bore
tafei | tafe e→i | To be three | Stative: to be or become three. [Modifier -> Verb (stative)] Senses: 1) to be three; 2) to become three
taicui | taicu u→i | To celebrate | To hold or take part in a celebration. [Abstract Noun -> Verb (enact)] Senses: 1) to celebrate; 2) to party; 3) to revel
tajui | taju u→i | To envy | To feel envy toward; to envy. [Abstract Noun -> Verb (feel/enact)] Senses: 1) envy
tandei | tande e→i | To be big | Stative: to be or become big. [Modifier -> Verb (stative)] Senses: 1) to be big; 2) to become big
tebei | tebe e→i | To be especially | Stative: to be or become especially. [Modifier -> Verb (stative)] Senses: 1) to be especially; 2) to become especially
tocei | toce e→i | To be sorry | Stative: to be or become sorry. [Modifier -> Verb (stative)] Senses: 1) to be sorry; 2) to become sorry
triruzui | triruzu u→i | To frustrate | To produce frustration in someone; to thwart. [Abstract Noun -> Verb (feel/enact)] Senses: 1) frustrate
truhui | truhu u→i | To awe | To produce awe or wonder in someone. [Abstract Noun -> Verb (feel/enact)] Senses: 1) awe
tsakei | tsake e→i | To be angry | Stative: to be or become angry. [Modifier -> Verb (stative)] Senses: 1) to be angry; 2) to become angry
tsengei | tsenge e→i | To be often | Stative: to be or become often. [Modifier -> Verb (stative)] Senses: 1) to be often; 2) to become often
tujyrui | tujyru u→i | Bribe / To bribe | To pay someone secretly to corrupt their judgment. [Abstract Noun -> Verb (feel/enact)] Senses: 1) bribe; 2) pay off
tuloi | tulo o→i | To bottle | To put into bottles; to bottle. [Concrete Noun -> Verb (use/apply)] Senses: 1) bottle
tutei | tute e→i | To be sweet | Stative: to be or become sweet. [Modifier -> Verb (stative)] Senses: 1) to be sweet; 2) to become sweet
tuxuntoi | tuxunto o→i | To bill / To invoice | To present a statement of money owed. [Concrete Noun -> Verb (use/apply)] Senses: 1) bill; 2) invoice; 3) charge
ubmei | ubme e→i | To be public | Stative: to be or become public. [Modifier -> Verb (stative)] Senses: 1) to be public; 2) to become public
ucdei | ucde e→i | To be proud | Stative: to be or become proud. [Modifier -> Verb (stative)] Senses: 1) to be proud; 2) to become proud
udcei | udce e→i | To be tight | Stative: to be or become tight. [Modifier -> Verb (stative)] Senses: 1) to be tight; 2) to become tight
udzidui | udzidu u→i | To appear / To seem | To come into view or give an appearance. [Abstract Noun -> Verb (enact)] Senses: 1) to appear; 2) to become visible; 3) to seem
ufaxoi | ufaxo o→i | To message | To send someone a message; to message. [Concrete Noun -> Verb (use/apply)] Senses: 1) message; 2) text
ugtei | ugte e→i | To be barely | Stative: to be or become barely. [Modifier -> Verb (stative)] Senses: 1) to be barely; 2) to become barely
uibui | uibu u→i | To risk | To expose to risk; to risk, venture. [Abstract Noun -> Verb (feel/enact)] Senses: 1) risk; 2) venture
ukwolui | ukwolu u→i | To embarrass | To produce embarrassment in someone. [Abstract Noun -> Verb (feel/enact)] Senses: 1) embarrass
ulimei | ulime e→i | To be half | Stative: to be or become half. [Modifier -> Verb (stative)] Senses: 1) to be half; 2) to become half
upfei | upfe e→i | To be unequal | Stative: to be or become unequal. [Modifier -> Verb (stative)] Senses: 1) to be unequal; 2) to become unequal
usatei | usate e→i | To be straight | Stative: to be or become straight. [Modifier -> Verb (stative)] Senses: 1) to be straight; 2) to become straight
uxbei | uxbe e→i | To be loose | Stative: to be or become loose. [Modifier -> Verb (stative)] Senses: 1) to be loose; 2) to become loose
uxkui | uxku u→i | To succeed | To achieve success; to succeed. [Abstract Noun -> Verb (feel/enact)] Senses: 1) succeed
uzumei | uzume e→i | To be enough | Stative: to be or become enough. [Modifier -> Verb (stative)] Senses: 1) to be enough; 2) to become enough
vekei | veke e→i | To be low | Stative: to be or become low. [Modifier -> Verb (stative)] Senses: 1) to be low; 2) to become low
veponkui | veponku u→i | To surprise | To produce surprise in someone; to take aback. [Abstract Noun -> Verb (feel/enact)] Senses: 1) surprise
vicei | vice e→i | To be brave | Stative: to be or become brave. [Modifier -> Verb (stative)] Senses: 1) to be brave; 2) to become brave
vildei | vilde e→i | To be direct | Stative: to be or become direct. [Modifier -> Verb (stative)] Senses: 1) to be direct; 2) to become direct
vokrei | vokre e→i | To be greedy | Stative: to be or become greedy. [Modifier -> Verb (stative)] Senses: 1) to be greedy; 2) to become greedy
vomei | vome e→i | To be less | Stative: to be or become less. [Modifier -> Verb (stative)] Senses: 1) to be less; 2) to become less
vyhei | vyhe e→i | To be mild | Stative: to be or become mild. [Modifier -> Verb (stative)] Senses: 1) to be mild; 2) to become mild
wablei | wable e→i | To be mutual | Stative: to be or become mutual. [Modifier -> Verb (stative)] Senses: 1) to be mutual; 2) to become mutual
wagei | wage e→i | To be soft | Stative: to be or become soft. [Modifier -> Verb (stative)] Senses: 1) to be soft; 2) to become soft
wanei | wane e→i | To be left | Stative: to be or become left. [Modifier -> Verb (stative)] Senses: 1) to be left; 2) to become left
wapsei | wapse e→i | To be flat | Stative: to be or become flat. [Modifier -> Verb (stative)] Senses: 1) to be flat; 2) to become flat
waskei | waske e→i | To be old | Stative: to be or become old. [Modifier -> Verb (stative)] Senses: 1) to be old; 2) to become old
wazei | waze e→i | To be weak | Stative: to be or become weak. [Modifier -> Verb (stative)] Senses: 1) to be weak; 2) to become weak
wecei | wece e→i | To be well (satisfactory | Stative: to be or become well (satisfactory. [Modifier -> Verb (stative)] Senses: 1) to be well (satisfactory; 2) to become well (satisfactory
weokei | weoke e→i | To be round | Stative: to be or become round. [Modifier -> Verb (stative)] Senses: 1) to be round; 2) to become round
wiblei | wible e→i | To be self | Stative: to be or become self. [Modifier -> Verb (stative)] Senses: 1) to be self; 2) to become self
wigakrui | wigakru u→i | To trust | To place trust in; to trust. [Abstract Noun -> Verb (feel/enact)] Senses: 1) trust
wosei | wose e→i | To be short | Stative: to be or become short. [Modifier -> Verb (stative)] Senses: 1) to be short; 2) to become short
wujoi | wujo o→i | To map | To make a map of; to chart. [Concrete Noun -> Verb (use/apply)] Senses: 1) map; 2) chart
wukei | wuke e→i | To be dry | Stative: to be or become dry. [Modifier -> Verb (stative)] Senses: 1) to be dry; 2) to become dry
wydei | wyde e→i | To be safe | Stative: to be or become safe. [Modifier -> Verb (stative)] Senses: 1) to be safe; 2) to become safe
